Source,RA_ICRS,DE_ICRS,Plx,pmRA,pmDE,e_pmRA,e_pmDE,Gmag,BPmag,RPmag
4689647062213728896,6.58328856852,-71.92225500415,0.2634,5.994,-2.668,0.146,0.161,18.301859,18.634584,17.824160
4689647062213735552,6.58887663488,-71.92913655713,1.2940,7.832,-1.697,2.451,2.779,20.882240,21.921936,20.106150
4689647062213767168,6.61584919578,-71.92531523459,-0.0034,5.663,-1.773,0.360,0.341,19.565187,20.077785,19.042702
4689647062213773952,6.62154006780,-71.92067098770,0.2337,6.203,-2.815,0.551,0.717,20.187567,20.658094,19.505264
4689647062215841408,6.59942314617,-71.91835972619,0.2188,5.219,-2.241,0.100,0.109,17.837326,18.144493,17.377512
4689647062223611136,6.59290929372,-71.93191708658,0.2897,5.560,-2.069,0.283,0.295,19.332443,19.781273,18.748888
4689647062223993344,6.58673703988,-71.92219708879,0.1678,5.859,-2.274,0.638,0.749,20.258698,20.589909,19.416660
4689647062223994112,6.61081323179,-71.92365274250,-0.0273,5.761,-0.855,0.624,0.725,20.118310,20.669882,19.553873
4689647062223994368,6.61179074663,-71.92196731808,0.1869,4.915,-2.350,0.301,0.305,19.342583,19.768606,18.872246
4689647062224005504,6.57464704018,-71.92604214184,2.2460,3.986,-0.892,0.544,0.879,20.247696,20.362453,18.656760
4689647062224006784,6.59302415621,-71.92375121205,0.6962,6.457,-3.892,0.983,0.819,20.449589,21.102570,19.676916
4689647062224007808,6.60479605854,-71.91732868071,-0.8390,5.182,-2.584,0.838,0.816,20.555374,21.082785,20.043901
4689647062224009216,6.61470784863,-71.92328191916,-0.1977,6.959,-3.364,2.425,2.329,20.768984,21.306726,20.570877
4689647066499864192,6.59199424718,-71.91974829398,0.2416,5.188,-2.529,0.105,0.114,17.911150,18.228071,17.416151
4689647066499864320,6.61233748257,-71.92281928387,-0.1463,5.227,-2.999,0.176,0.188,18.694641,19.061438,18.250120
4689647066499865728,6.60874973623,-71.92710742219,0.2498,5.353,-2.920,0.269,0.278,19.285570,19.763000,18.830520
4689647066499870720,6.57615401438,-71.93209793558,-0.1490,5.838,-1.271,0.190,0.198,18.303434,18.466547,17.074402
4689647066500054272,6.61073857394,-71.91844629075,0.1186,5.698,-2.545,0.751,0.717,20.498241,21.074738,20.006105
4689647066500055040,6.57714294356,-71.92349127101,0.0956,5.405,-2.646,0.525,0.681,20.065544,20.565240,19.553492
4689647066500055296,6.59051235315,-71.93232745554,0.0372,-0.014,-1.148,0.571,0.657,20.162650,20.411163,19.552732
4689647066500081152,6.60593495262,-71.92831105455,0.0800,5.034,-1.131,0.672,0.767,20.374565,21.109606,19.672611
4689647066500119296,6.62342088554,-71.92272954677,-0.9865,6.839,3.188,1.761,1.837,20.722574,21.242233,20.077147
4689647066506670080,6.59594622146,-71.91941636122,1.1264,21.675,-5.543,0.080,0.084,17.273918,18.059640,16.410309
